Interval,Total_Disaster,Shelter,People_in_Shelter,Total_Victim,Death_Victim,Missing_Victim,Serious_Hurt_Victim,Other_Victim,Settle_Houses,Settle_People,Financial_Impact_House,Allowance_1000NTD
2011 全年,59,0,0,21,16,0,5,0,125,356,2,10840
2011 第一季,21,0,0,7,7,0,0,0,30,86,0,3120
2011 第二季,15,0,0,6,6,0,0,0,73,194,0,5080
2011 第三季,6,0,0,0,0,0,0,0,6,23,0,460
2011 第四季,17,0,0,8,3,0,5,0,16,53,2,2180
2012 全年,85,0,0,19,18,0,1,0,69,217,498,14820
2012 第一季,10,0,0,3,3,0,0,0,9,27,0,1140
2012 第二季,16,0,0,5,5,0,0,0,13,43,0,1860
2012 第三季,28,0,0,5,4,0,1,0,10,31,283,4800
2012 第四季,31,0,0,6,6,0,0,0,37,116,215,7020
2013 全年,61,31,780,8,2,0,0,0,80,208,97,4760
2013 第一季,11,0,0,1,1,0,0,0,20,58,0,1360
2013 第二季,10,0,0,0,0,0,0,0,13,36,0,720
2013 第三季,28,31,780,7,1,0,6,0,34,77,51,1940
2013 第四季,12,0,0,0,0,0,0,0,13,37,0,740
2014 全年,47,1,8,14,11,0,3,0,65,194,20,6000
2014 第一季,11,0,0,2,2,0,0,0,11,31,0,980
2014 第二季,12,0,0,2,2,0,0,0,17,36,0,1080
2014 第三季,10,1,8,7,6,0,1,0,20,69,20,2580
2014 第四季,14,0,0,3,1,0,2,0,17,58,0,1360
2015 全年,47,0,0,341,76,4,261,0,185,456,614,21870
2015 第一季,11,0,0,55,47,0,8,0,5,14,0,1080
2015 第二季,12,0,0,266,17,0,249,0,9,22,0,920
2015 第三季,10,0,0,11,6,4,1,0,103,239,447,12860
2015 第四季,14,0,0,9,6,0,3,0,68,181,167,7010
