,NOC,Medal_sum,people,Fscore,gen_ave,enrollment,adolescent_fertility,Labor,Schooling_years,Primary_edu,Employment
1,AFG_2004,2,5,0.4,27.04841,NA,86.51818,14.40777,4.29471,29.1264,0.895
2,AFG_2008,1,4,0.25,35.38682,NA,88.88586,13.84834,NA,37.78309,1.03
3,AFG_2012,1,6,0.16666667,37.12263,NA,91.3877,14.79695,NA,40.71588,1.59
4,AFG_2016,1,3,0.33333333,37.28781,NA,93.12058,17.28286,NA,NA,1.46
5,ALB_1992,2,9,0.22222222,40.34866,NA,98.1267,42.90692,10.75121,48.54349,1.415
6,ALB_1996,6,9,0.66666667,40.32176,NA,98.07894,43.28909,10.18459,48.00117,2.055
7,ALB_2000,3,5,0.6,49.25099,95.17524,98.09628,41.08101,10.60385,48.26954,2.28
8,ALB_2004,2,7,0.28571429,48.85391,91.58021,98.1312,41.53448,10.97959,48.213,2.685
9,ALB_2008,5,12,0.41666667,48.45192,86.95978,98.10884,42.41739,12.31834,47.85715,3.05
10,ALB_2012,3,10,0.3,49.68149,90.03854,97.927,42.56865,15.03083,47.22893,5.295
11,ALB_2014,2,2,1,50.22686,95.92709,97.92952,41.1007,16.29178,47.31709,2.795
12,ALB_2016,3,6,0.5,50.53862,95.06893,97.93204,41.99053,15.89969,47.24054,5.1
13,AND_2002,2,5,0.4,47.41967,NA,NA,NA,NA,47.41967,NA
14,AND_2004,2,6,0.33333333,47.06848,NA,NA,NA,NA,47.06848,NA
15,AND_2008,2,5,0.4,47.19501,NA,NA,NA,NA,47.19501,NA
16,AND_2010,7,20,0.35,48.15663,NA,NA,NA,NA,48.15663,NA
17,AND_2012,2,6,0.33333333,47.02179,NA,NA,NA,NA,47.02179,NA
18,AND_2014,5,12,0.41666667,47.10947,NA,NA,NA,NA,47.10947,NA
19,AND_2016,2,4,0.5,47.0339,NA,NA,NA,NA,47.0339,NA
20,ARG_1992,45,157,0.2866242,48.0563,NA,92.6798,39.43411,NA,NA,12.055
21,ARG_1994,13,20,0.65,48.34424,NA,92.81584,40.07187,NA,NA,12.145
22,ARG_1996,69,221,0.31221719,48.5817,NA,92.95188,40.40122,NA,48.94371,12.03
23,ARG_1998,5,6,0.83333333,48.77015,NA,93.11668,40.99463,NA,48.9743,11.995
24,ARG_2000,365,165,2.21212121,42.92194,NA,93.31024,41.07891,16.33546,49.0851,14.8
25,ARG_2002,11,26,0.42307692,42.05843,NA,93.5038,40.87417,17.16529,49.08889,9.66
26,ARG_2004,226,179,1.26256983,51.97538,98.59771,93.55292,41.5752,17.12874,48.97273,12.025
27,ARG_2006,9,17,0.52941176,52.08085,99.14155,93.60204,41.4898,17.25483,48.99691,12
28,ARG_2008,209,145,1.44137931,52.44986,99.16072,93.62176,40.94063,17.51383,49.01723,14.445
29,ARG_2010,12,20,0.6,52.34363,98.37241,93.61208,40.204,18.07123,48.79207,15.01
30,ARG_2012,330,148,2.22972973,52.37131,98.51051,93.6024,41.08632,18.29912,48.80953,13.92
31,ARG_2014,9,20,0.45,52.18755,99.47048,93.64984,40.75024,18.48789,49.04683,11.72
32,ARG_2016,140,232,0.60344828,48.92816,NA,93.69728,40.8972,NA,NA,12.19
33,ARM_1996,2,38,0.05263158,47.69658,NA,94.4073,45.57542,NA,50.28361,0.52
34,ARM_1998,3,7,0.42857143,47.25479,NA,95.36078,46.16358,NA,NA,0.24
35,ARM_2000,2,26,0.07692308,40.72459,NA,96.06074,46.56727,11.69889,49.04607,0.25
36,ARM_2002,8,17,0.47058824,56.01455,87.73029,96.7607,46.51187,NA,48.73989,0.33
37,ARM_2004,2,19,0.10526316,48.00501,NA,96.94502,46.36304,NA,48.347,0.365
38,ARM_2006,1,9,0.11111111,57.00495,93.35196,97.12934,46.27115,NA,47.81732,0.455
39,ARM_2008,2,26,0.07692308,40.68552,NA,97.2329,46.27261,12.69339,46.74371,0.485
40,ARM_2010,3,6,0.5,47.60834,NA,97.2557,45.65114,NA,46.8115,0.715
41,ARM_2012,13,31,0.41935484,48.14779,NA,97.2785,47.17197,NA,46.6657,1.475
42,ARM_2014,1,6,0.16666667,48.50666,NA,97.4405,46.92998,NA,46.81617,2.84
43,ARM_2016,10,34,0.29411765,57.06107,92.59264,97.6025,46.64107,NA,46.78915,1.68
44,AUS_1992,350,431,0.81206497,62.34526,96.98586,97.9125,41.76454,NA,48.6384,26.425
45,AUS_1994,12,47,0.25531915,55.0289,96.2691,97.96938,42.29894,17.30832,48.66767,27.66
46,AUS_1996,1411,550,2.56545455,55.25184,95.37764,98.02626,42.85267,19.44697,48.65248,27.155
47,AUS_1998,19,34,0.55882353,62.60513,95.48053,98.10538,43.04843,NA,48.65631,27.735
48,AUS_2000,2209,788,2.80329949,62.5662,95.67675,98.20674,43.62882,NA,48.63367,26.685
49,AUS_2002,48,41,1.17073171,62.93522,95.62742,98.3081,44.05368,NA,48.60689,28.08
50,AUS_2004,1512,601,2.51580699,62.89819,96.56304,98.30086,44.33498,NA,48.61707,26.675
51,AUS_2006,27,45,0.6,62.843,96.95121,98.29362,44.82556,NA,48.60962,25.535
52,AUS_2008,1696,570,2.9754386,62.8858,97.59558,98.33598,45.04687,NA,48.61558,24.835
53,AUS_2010,81,49,1.65306122,62.72251,97.62961,98.42794,45.08701,NA,48.59299,23.875
54,AUS_2012,1248,514,2.42801556,62.502,98.01846,98.5199,45.42269,NA,48.56895,21.98
55,AUS_2014,71,84,0.8452381,62.39953,97.52725,98.59586,45.70643,NA,48.55813,21.61
56,AUS_2016,1154,518,2.22779923,55.86132,97.18244,98.67182,46.12704,23.32659,48.64006,21.22
57,AUT_1992,226,248,0.91129032,43.10667,NA,97.9611,41.65041,13.95501,48.64185,13.325
58,AUT_1994,104,130,0.8,43.53522,NA,98.1851,42.9879,14.36499,48.59811,13.54
59,AUT_1996,30,92,0.32608696,43.69489,NA,98.4091,43.19173,14.62185,48.54675,13.705
60,AUT_1998,104,154,0.67532468,44.31025,NA,98.54996,43.52032,15.65476,48.49121,15.335
61,AUT_2000,64,114,0.56140351,51.53542,NA,98.60768,43.51237,NA,48.44664,15.575
62,AUT_2002,60,148,0.40540541,51.65548,NA,98.6654,44.29209,NA,48.45944,15.205
63,AUT_2004,74,92,0.80434783,50.96657,NA,98.75416,45.11216,NA,48.73996,11.26
64,AUT_2006,147,132,1.11363636,51.45264,NA,98.84292,45.43661,NA,48.51601,13.015
65,AUT_2008,56,93,0.60215054,51.53662,NA,98.94056,45.73339,NA,48.33752,13.135
66,AUT_2010,135,132,1.02272727,51.68544,NA,99.04708,46.13933,NA,48.42035,13.135
67,AUT_2012,38,90,0.42222222,51.50212,NA,99.1536,46.49447,NA,48.5654,11.795
68,AUT_2014,226,213,1.06103286,44.5616,NA,99.2164,46.69433,16.1227,48.62456,12.15
69,AUT_2016,49,85,0.57647059,44.73353,NA,99.2792,46.72999,16.38343,48.54505,12.73
70,AZE_1996,4,24,0.16666667,50.15298,97.36618,95.8628,46.25677,10.17729,51.05487,0.2
71,AZE_1998,2,4,0.5,55.75226,87.86644,95.96098,46.31001,NA,48.48889,0.135
72,AZE_2000,36,32,1.125,56.12806,88.01044,96.34934,47.12475,NA,48.89079,0.265
73,AZE_2002,1,4,0.25,55.49997,83.88251,96.7377,48.34637,NA,48.13829,0.395
74,AZE_2004,25,37,0.67567568,55.38961,82.68182,96.50322,49.38197,NA,47.82103,0.56
75,AZE_2006,1,2,0.5,55.41276,80.84676,96.26874,50.36025,NA,47.14305,2.445
76,AZE_2008,23,44,0.52272727,56.00757,83.64021,95.94192,50.4005,NA,46.86519,3.19
77,AZE_2010,2,4,0.5,64.53658,84.09397,95.52276,49.45413,NA,46.44202,47.17
78,AZE_2012,44,59,0.74576271,64.15021,88.10681,95.1036,48.95426,NA,46.1564,42.43
